"","CPHI.Adjusted"
"279",-0.0363676441708749
"280",0.0363676441708749
"281",0
"282",0
"283",-0.0363676441708749
"284",0
"285",0
"286",0
"287",0.0714589639821448
"288",0.0339015516756813
"289",-0.0339015516756813
"290",-0.0350913198112699
"291",0.0350913198112699
"292",0
"293",0.0339015516756813
"294",0.154150679827258
"295",-0.028987536873252
"296",-0.060624621816435
"297",-0.0645385211375713
"298",0.032789822822991
"299",0.062520356981334
"300",-0.0307716586667537
"301",0
"302",0.0307716586667537
"303",-0.062520356981334
"304",0.0317486983145803
"305",0.0307716586667537
"306",0
"307",-0.0307716586667537
"308",0
"309",-0.0317486983145803
"310",0.062520356981334
"311",0.0588405000229333
"312",-0.0588405000229333
"313",0.0588405000229333
"314",-0.028987536873252
"315",-0.0298529631496813
"316",0.435318071257845
"317",-0.218253566020018
"318",-0.0500104205746613
"319",-0.0259754864032606
"320",0.075985906977922
"321",-0.0246926125903714
"322",-0.02531780798429
"323",-0.0259754864032606
"324",-0.0540672212702759
"325",0
"326",-0.0281708769666964
"327",0
"328",0
"329",0.0281708769666964
"330",-0.0281708769666964
"331",0
"332",0
"333",-0.0588405000229333
"334",0
"335",0
"336",0
"337",0.0588405000229333
"338",-0.0588405000229333
"339",0
"340",0.0298529631496813
"341",-0.0298529631496813
"342",-0.0307716586667537
"343",0.060624621816435
"344",-0.0298529631496813
"345",-0.062520356981334
"346",-0.032789822822991
"347",-0.0339015516756813
"348",0.0339015516756813
"349",-0.0339015516756813
"350",0
"351",0
"352",-0.0350913198112699
"353",-0.0741079721537219
"354",-0.0800427076735366
"355",0
"356",0.0408219945202553
"357",0.0769610411361283
"358",0
"359",-0.037740327982847
"360",0.109199291964992
"361",-0.0350913198112699
"362",0.0350913198112699
"363",-0.0350913198112699
"364",0
"365",0
"366",-0.0363676441708749
"367",0.138150338480817
"368",-0.0666913744986724
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0.0984400728132526
"375",0
"376",-0.0645385211375713
"377",0
"378",0
"379",0.032789822822991
"380",0
"381",0
"382",-0.032789822822991
"383",0
"384",-0.0339015516756813
"385",0.0339015516756813
"386",-0.0339015516756813
"387",-0.0350913198112699
"388",0
"389",0
"390",-0.0363676441708749
"391",0.0714589639821448
"392",0
"393",0.0339015516756813
"394",0
"395",0
"396",-0.0339015516756813
"397",0
"398",-0.0350913198112699
"399",0.0350913198112699
"400",-0.0714589639821448
"401",0
"402",-0.037740327982847
"403",0.037740327982847
"404",0
"405",-0.037740327982847
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",0
"413",0
"414",0.037740327982847
"415",-0.037740327982847
"416",0
"417",-0.0392207131532814
"418",0.0769610411361283
"419",-0.037740327982847
"420",0
"421",0
"422",0
"423",0
"424",0
"425",0
"426",0.037740327982847
"427",0
"428",0
"429",-0.037740327982847
"430",0.037740327982847
"431",0
"432",-0.037740327982847
"433",0
"434",0
"435",0
"436",0
"437",0
"438",-0.0392207131532814
"439",0
"440",0
"441",-0.0408219945202553
"442",0.0408219945202553
"443",0
"444",0
"445",0
"446",0
"447",0.0392207131532814
"448",0
"449",-0.0392207131532814
"450",0.0769610411361283
"451",-0.037740327982847
"452",-0.0392207131532814
"453",0.0392207131532814
"454",0
"455",-0.0392207131532814
"456",0.0392207131532814
"457",0
"458",0.037740327982847
"459",0
"460",-0.0769610411361283
"461",0.0392207131532814
"462",0
"463",0
"464",0
"465",0
"466",0
"467",-0.0392207131532814
"468",0
"469",0.0392207131532814
"470",0
"471",-0.0392207131532814
"472",0
"473",-0.0408219945202553
"474",0
"475",0
"476",-0.0870113769896297
"477",0.0444517625708338
"478",0
"479",0
"480",0
"481",0.0425596144187959
"482",-0.0425596144187959
"483",0.0425596144187959
"484",0
"485",-0.0425596144187959
"486",0.0425596144187959
"487",0
"488",-0.0425596144187959
"489",0
"490",0
"491",0.0425596144187959
"492",0
"493",0.0408219945202553
"494",0
"495",0
"496",-0.0408219945202553
"497",0.0408219945202553
"498",-0.0408219945202553
"499",0.0408219945202553
"500",-0.0833816089390511
"501",0.0425596144187959
"502",-0.0425596144187959
"503",0.0425596144187959
"504",0.0408219945202553
"505",0.0769610411361283
"506",0.200670695462151
"507",-0.164303051291276
"508",0.101782694309942
"509",-0.032789822822991
"510",0.095310179804325
"511",0.0588405000229333
"512",-0.089612158689687
"513",-0.0645385211375713
"514",-0.0339015516756813
"515",0
"516",0.346276236717834
"517",0.0240975515790606
"518",-0.100083458556983
"519",-0.0822380982369723
"520",0.158224005214894
"521",0.093090423066012
"522",-0.0454623740767574
"523",-0.0235304974101941
"524",0.11247798342669
"525",0.671640975338982
"526",-0.378653850657508
"527",-0.0655972824858133
"528",-0.126293725324292
"529",0.238411023444998
"530",-0.146603474191876
"531",-0.0918075492531226
"532",-0.122602322092332
"533",0.083381608939051
"534",-0.105360515657826
"535",-0.0689928714869514
"536",0.0235304974101941
"537",0
"538",0.0889474860164962
"539",0.0618754037180875
"540",0.0582689081239758
"541",0.0550597771830275
"542",0.117783035656383
"543",-0.100083458556983
"544",0.693147180559945
"545",-0.258861633916289
"546",-0.0828876598057676
"547",0.105360515657826
"548",-0.0571584138399487
"549",-0.208544751893057
"550",-0.17366349405084
"551",0.243622082657751
"552",-0.176930708159078
"553",-0.101782694309942
"554",-0.0550597771830275
"555",0.0901510969942974
"556",-0.0714589639821448
"557",0.138150338480817
"558",-0.0840831172105415
"559",0.146603474191876
"560",-0.0307716586667537
"561",-0.0480092191863606
"562",0
"563",0.0322608622182214
"564",0.0615578929994334
"565",-0.29266961396282
"566",-0.105360515657826
"567",-0.117783035656383
"568",0.0246926125903714
"569",-0.0500104205746613
"570",0.0741079721537219
"571",-0.0240975515790606
"572",0
"573",0
"574",0.093090423066012
"575",0.21868920096483
"576",-0.133531392624523
"577",0
"578",-0.0206192872027356
"579",-0.0870113769896298
"580",0.0224728558520586
"581",0.0434851119397388
"582",-0.0215062052209635
"583",0.0215062052209635
