"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"540",169.800003,171.320007,157.399994,159.981995,86452500,159.981995
"541",156.5,162.662003,155.222,155.759995,70427500,155.759995
"542",146,147.953995,133.800003,135.800003,121386000,135.800003
"543",125.940002,138.104004,122.304001,133.598007,122821000,133.598007
"544",142.251999,148.738007,137.334,148.723999,100975000,148.723999
"545",161,161.395996,143.222,149.102005,128920000,149.102005
"546",152.792007,153.304001,144.945999,149.899994,75245000,149.899994
"547",144.753998,149.149994,143.613998,144.908005,54263500,144.908005
"548",138,141.399994,136.854004,140.695999,63314500,140.695999
"549",121.078003,132.600006,121,121.599998,85368500,121.599998
"550",131.886002,133.600006,121.599998,129.065994,77972000,129.065994
"551",128.039993,130.716003,122.599998,126.846001,66612500,126.846001
"552",116.178001,118.900002,109.25,112.110001,94545500,112.110001
"553",119,121.514,100.400002,109.323997,113201500,109.323997
"554",93.900002,98.973999,88.433998,89.014,102447500,89.014
