"","CPHI.Open","CPHI.High","CPHI.Low","CPHI.Close","CPHI.Volume","CPHI.Adjusted"
"95",0.32,0.34,0.32,0.32,7400,0.32
"96",0.33,0.34,0.32,0.32,43400,0.32
"97",0.33,0.34,0.32,0.32,35900,0.32
"98",0.36,0.36,0.32,0.32,19300,0.32
"99",0.32,0.34,0.32,0.32,43300,0.32
"100",0.32,0.32,0.32,0.32,0,0.32
"101",0.32,0.32,0.29,0.3,95400,0.3
"102",0.31,0.32,0.31,0.31,34700,0.31
"103",0.3,0.31,0.3,0.31,23100,0.31
"104",0.3,0.31,0.3,0.3,28000,0.3
"105",0.31,0.31,0.3,0.3,43100,0.3
"106",0.3,0.3,0.29,0.3,92000,0.3
"107",0.29,0.31,0.28,0.3,54100,0.3
"108",0.28,0.39,0.28,0.37,490600,0.37
"109",0.37,0.38,0.34,0.37,166400,0.37
"110",0.36,0.4,0.35,0.37,291900,0.37
"111",0.39,0.43,0.35,0.35,921800,0.35
"112",0.36,0.4,0.34,0.34,199400,0.34
"113",0.33,0.38,0.33,0.34,141300,0.34
"114",0.35,0.37,0.35,0.37,60300,0.37
"115",0.37,0.37,0.35,0.36,55100,0.36
"116",0.34,0.38,0.34,0.34,70400,0.34
"117",0.34,0.35,0.34,0.35,27400,0.35
"118",0.34,0.35,0.34,0.34,17900,0.34
"119",0.34,0.36,0.34,0.36,15100,0.36
"120",0.37,0.37,0.35,0.37,27200,0.37
"121",0.35,0.36,0.34,0.36,77800,0.36
"122",0.34,0.35,0.34,0.35,12600,0.35
"123",0.34,0.35,0.34,0.34,39300,0.34
"124",0.34,0.36,0.34,0.36,23400,0.36
"125",0.34,0.35,0.34,0.34,12900,0.34
"126",0.34,0.36,0.34,0.34,28600,0.34
"127",0.34,0.36,0.32,0.33,68800,0.33
"128",0.32,0.32,0.28,0.31,164000,0.31
"129",0.3,0.3,0.26,0.26,70800,0.26
"130",0.28,0.3,0.26,0.3,78900,0.3
"131",0.33,0.33,0.28,0.28,8100,0.28
"132",0.29,0.3,0.28,0.29,32700,0.29
"133",0.29,0.29,0.28,0.28,26400,0.28
"134",0.28,0.3,0.28,0.3,17100,0.3
"135",0.26,0.3,0.26,0.3,35600,0.3
"136",0.29,0.3,0.27,0.29,32200,0.29
"137",0.27,0.27,0.26,0.27,83200,0.27
"138",0.26,0.26,0.22,0.25,53600,0.25
"139",0.26,0.26,0.23,0.23,25900,0.23
"140",0.25,0.25,0.23,0.24,51200,0.24
"141",0.25,0.25,0.22,0.22,81800,0.22
"142",0.22,0.22,0.2,0.21,107300,0.21
"143",0.22,0.23,0.21,0.21,99300,0.21
"144",0.22,0.22,0.2,0.21,50800,0.21
"145",0.2,0.21,0.2,0.21,33700,0.21
"146",0.23,0.27,0.21,0.26,204700,0.26
"147",0.25,0.26,0.24,0.26,34300,0.26
