"","The level of risk reverse","The condition of the answer of financial problems","stock","financial asset","stock assset","financial market","province","gender","education level","marital status","educational investment","experience of finance","real estate","work","finance problem 1","finance problem 2"
"154",4,0,0,0,0,0,"上海市",1,1,1,1,1,0,0,0,0
"155",2,1,0,0.5,0,1,"上海市",1,6,0,1,0,1,1,0,1
"156",2,1,1,0.75,0.333333333,1,"上海市",1,6,0,1,0,1,1,0,1
"157",3,2,0,0.5,0,1,"上海市",1,6,0,1,1,1,1,1,1
"158",0,0,0,0,0,1,"上海市",1,1,1,1,1,1,0,0,0
"159",2,0,0,1,0,1,"上海市",0,5,0,0,1,0,0,0,0
"160",3,0,0,0,0,0,"上海市",1,4,1,0,1,1,0,0,0
"161",2,1,0,1,0,1,"上海市",1,5,1,0,1,0,0,0,1
"162",3,2,0,1,0,1,"上海市",1,6,0,1,1,0,1,1,1
"163",4,1,0,0,0,0,"上海市",0,2,1,1,1,1,1,1,0
"164",2,2,0,0.5,0,1,"上海市",1,6,1,1,0,1,0,1,1
"165",2,2,1,0.666666667,0.5,1,"上海市",0,6,0,1,1,1,1,1,1
"166",2,1,0,0.75,0,1,"上海市",1,8,1,0,1,1,0,0,1
"167",2,2,0,0.5,0,1,"上海市",1,6,1,1,0,1,0,1,1
"168",4,2,0,0,0,0,"上海市",0,2,1,0,1,1,0,1,1
"169",4,1,1,0.666666667,0.5,1,"上海市",1,6,0,0,0,1,1,0,1
"170",3,2,1,0.5,1,1,"上海市",1,6,0,1,1,1,1,1,1
"171",4,2,1,0.714285714,0.2,1,"上海市",0,6,1,0,1,1,1,1,1
"172",4,0,0,0,0,0,"上海市",1,2,1,0,1,0,1,0,0
"173",1,1,1,0.5,1,1,"上海市",0,6,0,0,1,1,1,0,1
"174",1,1,1,0.666666667,0.5,1,"上海市",0,6,1,1,0,1,0,0,1
"175",3,1,1,0.5,1,1,"上海市",1,3,1,0,1,0,1,0,1
"176",4,1,1,0.5,1,1,"上海市",1,2,1,1,1,1,0,0,1
"177",0,2,0,0.666666667,0,1,"上海市",0,1,0,1,1,1,1,1,1
"178",2,1,0,0,0,0,"上海市",1,6,0,1,1,1,1,1,0
"179",3,1,0,0.5,0,1,"上海市",1,5,1,1,1,1,1,0,1
"180",3,2,0,0,0,1,"上海市",0,3,1,1,1,1,0,1,1
"181",1,2,0,1,0,1,"上海市",1,6,0,1,1,0,1,1,1
"182",3,2,0,0,0,0,"上海市",0,3,1,0,1,1,0,1,1
"183",2,2,1,0.6,0.333333333,1,"上海市",0,5,1,0,0,1,1,1,1
"184",2,1,0,0.5,0,1,"上海市",1,6,0,1,1,1,1,0,1
"185",1,1,0,0,0,0,"上海市",1,5,0,0,1,1,0,0,1
"186",4,0,0,0,0,0,"上海市",1,6,1,1,1,1,1,0,0
"187",4,2,0,0,0,0,"上海市",1,1,5,0,1,1,1,1,1
"188",2,2,0,0,0,0,"上海市",1,6,0,1,1,1,1,1,1
"189",3,2,0,0.333333333,0,1,"上海市",1,3,0,0,1,1,0,1,1
"190",3,1,0,1,0,1,"上海市",1,2,1,1,1,0,0,0,1
"191",3,2,1,0.666666667,0.5,1,"上海市",0,6,1,1,0,1,0,1,1
"192",4,1,0,0,0,0,"上海市",1,6,0,0,1,1,0,0,1
"193",4,1,0,0,0,0,"上海市",1,6,0,0,1,1,0,0,1
"194",0,2,1,1,1,1,"上海市",0,6,0,1,0,0,1,1,1
"195",4,1,0,0,0,0,"上海市",1,1,1,1,1,0,0,1,0
"196",3,2,0,0,0,0,"上海市",1,7,0,1,1,0,1,1,1
"197",0,2,0,0,0,0,"上海市",1,6,1,1,1,0,1,1,1
"198",1,2,0,0,0,0,"上海市",0,6,1,0,1,1,0,1,1
"199",3,1,0,0.5,0,1,"上海市",1,6,0,1,0,1,1,0,1
"200",2,2,0,0,0,0,"上海市",0,5,1,0,0,1,0,1,1
"201",4,2,0,0,0,0,"上海市",0,6,1,0,1,1,0,1,1
"202",3,1,0,0,0,0,"上海市",0,5,1,1,1,1,0,0,1
"203",2,2,0,0.5,0,1,"上海市",1,6,0,1,0,1,1,1,1
"204",3,2,1,0.333333333,1,1,"上海市",1,6,1,0,0,1,1,1,1
"205",4,1,0,0.5,0,1,"上海市",1,2,5,1,1,1,1,1,0
"206",2,2,1,0.8,0.25,1,"上海市",1,5,1,1,0,1,0,1,1
"207",2,0,1,0.5,0.5,1,"上海市",1,4,1,1,1,1,0,0,0
"208",3,1,0,1,0,1,"上海市",1,6,0,1,0,0,1,0,1
"209",2,1,0,0.333333333,0,1,"上海市",1,6,0,0,0,1,1,0,1
"210",4,2,0,0,0,0,"上海市",0,2,3,0,1,0,1,1,1
"211",4,1,0,0,0,0,"上海市",1,3,1,0,1,1,1,0,1
"212",3,1,0,0,0,0,"上海市",1,1,1,0,1,1,1,0,1
"213",4,0,0,0,0,0,"上海市",0,2,1,1,1,0,0,0,0
"214",2,1,1,0.5,1,1,"上海市",1,5,0,0,0,1,0,0,1
"215",2,1,0,1,0,1,"上海市",0,5,0,0,1,0,1,0,1
"216",2,1,0,0,0,0,"上海市",1,5,1,1,1,0,0,1,0
"217",2,2,0,0,0,0,"上海市",1,6,1,1,1,1,0,1,1
"218",3,2,0,0,0,0,"上海市",1,6,0,1,1,0,1,1,1
"219",4,0,0,0,0,0,"上海市",1,1,5,0,1,0,1,0,0
"220",3,2,1,1,0.333333333,1,"上海市",1,3,0,1,1,0,1,1,1
"221",3,2,1,0.666666667,0.5,1,"上海市",1,5,1,1,1,1,0,1,1
"222",2,2,0,0,0,1,"上海市",1,6,0,1,0,0,1,1,1
"223",2,1,0,0.666666667,0,1,"上海市",1,6,0,1,1,1,1,0,1
"224",3,1,0,1,0,1,"上海市",1,2,1,1,1,0,0,0,1
"225",3,1,1,0.666666667,0.5,1,"上海市",0,3,0,1,1,1,1,0,1
"226",4,2,1,0.333333333,1,1,"上海市",0,3,1,0,1,1,1,1,1
"227",3,2,0,0,0,0,"上海市",1,4,1,1,1,1,0,1,1
"228",1,2,0,0.5,0,1,"上海市",1,6,1,1,1,1,0,1,1
"229",2,2,0,0,0,0,"上海市",0,6,1,0,1,0,0,1,1
"230",2,1,1,0.6,0.333333333,1,"上海市",1,6,1,1,0,1,0,0,1
"231",2,0,0,0,0,0,"上海市",1,2,2,0,1,0,0,0,0
"232",4,1,0,0,0,0,"上海市",1,2,1,0,1,1,1,0,1
"233",4,0,1,0.5,1,1,"上海市",0,6,1,1,0,1,1,0,0
"234",3,1,0,0,0,0,"上海市",0,3,1,1,1,0,0,0,1
"235",0,1,0,0,0,0,"上海市",1,5,0,0,1,0,0,1,0
"236",3,1,0,0,0,0,"上海市",1,3,1,0,1,1,1,0,1
"237",2,1,0,1,0,1,"上海市",1,6,1,1,1,0,0,0,1
"238",3,1,0,0,0,0,"上海市",1,3,1,1,1,0,0,1,0
"239",3,2,0,0,0,0,"上海市",0,3,1,0,1,1,1,1,1
"240",1,1,0,0.666666667,0,1,"上海市",1,6,0,1,0,1,1,1,0
"241",4,2,0,0.5,0,1,"上海市",0,1,1,0,1,1,1,1,1
"242",4,2,1,0.5,0.5,1,"上海市",1,2,1,0,1,1,1,1,1
"243",4,1,0,0,0,0,"上海市",0,3,1,1,0,0,0,1,0
"244",3,0,1,0.5,0.5,1,"上海市",0,6,0,1,1,1,1,0,0
"245",3,2,0,0,0,0,"上海市",1,6,1,1,1,1,0,1,1
"246",2,2,0,0,0,0,"上海市",0,6,0,1,1,0,1,1,1
"247",4,2,0,0,0,0,"上海市",0,1,1,0,1,1,1,1,1
"248",2,2,0,0,0,0,"上海市",1,6,0,1,1,0,1,1,1
"249",2,2,0,0,0,0,"上海市",1,6,0,1,0,0,1,1,1
"250",2,2,1,0.5,0.5,1,"上海市",1,5,1,0,0,1,0,1,1
"251",1,1,0,0,0,1,"上海市",1,6,1,1,1,1,0,0,1
"252",4,1,0,0.5,0,1,"上海市",1,2,1,0,1,1,0,1,0
"253",2,1,0,0,0,0,"上海市",0,5,1,1,1,0,0,0,1
"254",2,2,0,0.5,0,1,"上海市",1,6,0,0,0,1,0,1,1
"255",4,0,0,0,0,0,"上海市",0,3,1,1,1,0,0,0,0
"256",2,2,1,0.8,0.25,1,"上海市",0,6,0,1,0,1,1,1,1
"257",2,2,1,0.6,0.333333333,1,"上海市",1,6,0,0,0,1,1,1,1
"258",4,0,0,0,0,0,"上海市",1,2,1,1,1,1,1,0,0
"259",4,0,0,0,0,0,"上海市",1,3,1,1,0,0,1,0,0
"260",4,0,0,0,0,0,"上海市",1,2,1,0,0,1,1,0,0
"261",4,2,0,1,0,1,"上海市",1,2,1,1,1,0,0,1,1
"262",3,2,1,0.714285714,0.2,1,"上海市",1,6,1,1,0,1,1,1,1
"263",3,2,1,0.666666667,0.5,1,"上海市",1,5,1,1,1,1,0,1,1
"264",2,2,0,0,0,0,"上海市",1,6,0,1,0,0,1,1,1
"265",2,1,1,1,0.25,1,"上海市",0,6,1,1,1,0,0,0,1
"266",4,1,0,0,0,0,"上海市",0,6,1,1,1,0,0,0,1
"267",2,1,0,0.8,0,1,"上海市",0,3,1,1,1,1,0,0,1
"268",2,1,0,1,0,1,"上海市",0,3,1,0,1,0,1,1,0
"269",3,2,0,0,0,0,"上海市",0,5,1,1,1,0,0,1,1
"270",1,1,0,1,0,1,"上海市",1,6,0,1,0,0,1,0,1
"271",3,1,0,1,0,1,"上海市",1,6,0,1,0,0,1,1,0
"272",1,2,0,0,0,0,"上海市",1,7,1,0,0,1,0,1,1
"273",3,1,0,0.5,0,1,"上海市",0,6,0,1,1,1,1,0,1
"274",2,2,0,0,0,0,"上海市",1,6,0,1,0,1,1,1,1
"275",4,0,0,0,0,0,"上海市",1,1,1,0,1,0,0,0,0
"276",3,2,0,0,0,0,"上海市",0,6,0,1,1,0,1,1,1
"277",1,2,1,0.666666667,0.5,1,"上海市",1,7,1,0,1,1,0,1,1
"278",1,2,1,0.666666667,0.5,1,"上海市",0,6,1,1,0,0,0,1,1
"279",0,2,1,1,0.25,1,"上海市",1,6,0,0,0,0,1,1,1
"280",0,2,1,0.5,1,1,"上海市",0,6,5,1,1,1,0,1,1
"281",3,0,0,0.5,0,1,"上海市",1,6,0,1,0,1,1,0,0
"282",3,2,0,0.666666667,0,1,"上海市",0,3,1,0,1,1,1,1,1
"283",3,2,0,0.75,0,1,"上海市",0,5,1,1,0,1,0,1,1
"284",4,0,0,0,0,0,"上海市",1,1,1,0,1,0,1,0,0
"285",3,2,1,0.75,0.333333333,1,"上海市",1,6,0,1,0,1,1,1,1
"286",3,0,0,0,0,0,"上海市",1,2,1,0,1,0,1,0,0
"287",0,2,0,0,0,0,"上海市",0,3,1,1,1,1,0,1,1
"288",3,2,0,0,0,0,"上海市",1,1,1,0,1,1,0,1,1
"289",2,1,0,1,0,1,"上海市",1,6,0,0,0,0,0,0,1
"290",3,2,1,0.5,1,1,"上海市",1,3,1,1,1,1,0,1,1
"291",3,2,1,0.5,0.5,1,"上海市",1,6,0,0,0,1,0,1,1
"292",2,2,0,0,0,0,"上海市",0,2,1,0,1,1,1,1,1
"293",2,0,0,0.5,0,1,"上海市",1,6,1,1,1,1,0,0,0
"294",2,1,1,0.666666667,0.5,1,"上海市",1,3,1,1,0,1,0,0,1
"295",4,2,0,0,0,0,"上海市",1,1,5,0,1,0,1,1,1
"296",2,2,0,0.5,0,1,"上海市",1,6,0,1,0,1,1,1,1
"297",3,0,0,0,0,0,"上海市",1,1,1,0,1,1,1,0,0
"298",4,2,0,0,0,0,"上海市",0,2,1,0,1,0,1,1,1
"299",4,1,0,0,0,0,"上海市",1,2,5,0,1,0,1,1,0
"300",2,1,1,0.666666667,0.5,1,"上海市",1,3,0,1,0,0,0,0,1
"301",1,0,0,0,0,0,"上海市",1,6,0,1,1,1,1,0,0
"302",1,2,0,0.666666667,0,1,"上海市",0,6,0,0,0,1,0,1,1
"303",2,2,0,0.666666667,0,1,"上海市",0,6,0,1,0,1,1,1,1
"304",4,2,0,0,0,0,"上海市",0,2,1,0,1,1,1,1,1
"305",4,0,0,0,0,1,"上海市",0,1,1,1,1,0,0,0,0
"306",0,2,0,0,0,0,"上海市",0,3,0,0,1,0,0,1,1
"307",4,0,0,0,0,0,"上海市",1,0,5,0,0,1,1,0,0
"308",2,1,0,0,0,1,"上海市",0,6,0,1,1,0,1,1,0
"309",4,1,0,0,0,0,"上海市",0,2,1,1,1,0,0,1,0
"310",4,0,0,0,0,0,"上海市",1,1,1,1,1,0,1,0,0
"311",0,1,0,0,0,0,"上海市",0,3,5,1,1,0,1,0,1
"312",3,2,1,0.5,0.5,1,"上海市",0,3,1,0,1,1,1,1,1
"313",3,2,0,0,0,1,"上海市",1,3,1,1,1,1,0,1,1
"314",3,0,0,0,0,0,"上海市",1,2,1,1,1,0,0,0,0
"315",3,1,1,0.666666667,0.5,1,"上海市",1,5,1,1,1,1,0,0,1
"316",0,2,0,0,0,0,"上海市",0,3,1,1,1,0,1,1,1
"317",4,1,0,0,0,0,"上海市",1,3,1,0,1,1,1,0,1
"318",0,2,0,0.5,0,1,"上海市",1,3,0,0,0,0,0,1,1
"319",4,1,1,0.5,1,1,"上海市",0,2,5,0,0,1,1,0,1
"320",4,2,0,0,0,0,"上海市",0,2,1,0,1,1,1,1,1
"321",3,2,1,0.666666667,0.5,1,"上海市",1,6,1,1,1,1,0,1,1
"322",4,2,0,0,0,1,"上海市",1,6,1,1,1,1,0,1,1
"323",4,2,0,0,0,0,"上海市",0,3,1,1,0,1,0,1,1
"324",4,0,0,0,0,0,"上海市",1,5,5,0,1,1,1,0,0
"325",4,1,0,0,0,0,"上海市",1,1,1,1,1,0,0,1,0
"326",2,2,1,0.666666667,0.5,1,"上海市",1,6,1,0,1,1,0,1,1
"327",0,2,0,1,0,1,"上海市",1,7,0,1,0,0,0,1,1
"328",4,0,0,0.5,0,1,"上海市",1,6,1,0,1,1,0,0,0
"329",4,1,0,0,0,0,"上海市",0,1,1,0,1,1,1,1,0
"330",3,1,0,0,0,0,"上海市",0,2,1,1,1,1,0,0,1
"331",2,2,0,0,0,0,"上海市",1,6,0,0,0,1,1,1,1
"332",2,2,0,0,0,0,"上海市",1,6,0,1,0,0,1,1,1
"333",3,0,1,0.5,1,1,"上海市",1,6,1,1,1,0,0,0,0
"334",3,1,0,0,0,0,"上海市",0,5,0,0,1,0,1,1,0
"335",4,2,0,0,0,0,"上海市",0,1,1,1,1,1,1,1,1
"336",3,1,0,0,0,0,"上海市",0,6,0,1,0,1,1,0,1
"337",2,1,0,0,0,0,"上海市",0,6,0,0,1,0,0,1,0
"338",2,1,0,0.5,0,1,"上海市",1,6,0,1,1,1,1,0,1
"339",3,2,0,0,0,0,"上海市",0,6,0,1,1,0,1,1,1
"340",1,2,1,0.875,0.142857143,1,"上海市",1,6,1,1,0,1,0,1,1
"341",1,2,0,0,0,0,"上海市",1,6,0,1,0,0,1,1,1
"342",4,1,0,0,0,0,"上海市",1,4,1,0,1,1,0,0,1
"343",3,1,1,0.333333333,1,1,"上海市",0,3,1,1,1,1,1,0,1
